from,to,min_p
anxiety,depression,0.10330139956022391
anxiety,suicidewatch,0.2537181540889149
depression,anxiety,0.2246238399139864
depression,suicidewatch,0.13828812404607072
suicidewatch,anxiety,0.23602032165148445
suicidewatch,depression,0.37786641966960877
